Unnamed: 0,store_ID,day_of_week,nb_customers_on_day,open,promotion,state_holiday,school_holiday,year,month,day,sales
0,286,7,0,0,0,0,0,2015.0,5.0,4.0,0.0
0,620,2,709,1,1,0,0,2013.0,4.0,6.0,7608.2
0,521,1,484,1,1,0,0,,,,6183.76
0,649,4,435,1,1,0,0,,,,4195.36
0,1059,2,1239,1,1,0,0,2015.0,2.0,6.0,10634.73
0,486,6,373,1,0,0,0,,,,3227.47
0,252,4,642,1,0,0,0,,,,7660.73
0,656,3,421,1,1,0,0,,,,3720.79
0,642,5,394,1,0,0,0,2014.0,12.0,9.0,3660.77
0,655,5,761,1,1,0,0,2015.0,8.0,5.0,8443.0
0,992,3,627,1,0,0,0,,,,4913.44
0,143,2,731,1,1,0,0,2015.0,2.0,6.0,8147.3
0,421,5,941,1,1,0,1,,,,9232.96
0,246,4,1157,1,1,0,0,2014.0,2.0,10.0,9241.75
0,960,1,720,1,1,0,0,,,,7794.25
0,313,5,697,1,0,0,0,,,,6191.01
0,291,6,534,1,0,0,0,,,,4718.6
0,924,6,333,1,0,0,0,,,,3182.96
0,337,2,430,1,1,0,1,,,,5395.32
0,1024,4,607,1,0,0,0,2015.0,12.0,3.0,5121.32
0,56,3,402,1,1,0,0,,,,6038.69
0,507,3,532,1,0,0,0,2014.0,9.0,4.0,5423.66
0,970,5,406,1,0,0,0,,,,3375.3
0,846,2,828,1,0,0,0,,,,7419.21
0,549,3,582,1,0,0,0,,,,4856.38
0,1095,4,852,1,1,0,1,,,,7530.18
0,859,5,709,1,1,0,0,2013.0,12.0,4.0,7758.06
0,914,2,1178,1,1,0,1,,,,11110.96
0,888,2,634,1,0,0,0,,,,6144.25
0,442,2,517,1,1,0,0,2014.0,4.0,11.0,5900.38
0,34,6,905,1,0,0,0,2013.0,9.0,3.0,7970.33
0,199,4,581,1,0,0,0,2014.0,10.0,7.0,5816.44
0,854,4,657,1,1,1,0,2015.0,4.0,6.0,6518.49
0,611,2,485,1,1,0,0,,,,5903.78
0,808,4,528,1,0,0,1,2015.0,9.0,4.0,5718.16
0,1105,4,410,1,0,0,0,,,,3709.84
0,866,5,445,1,0,0,0,,,,5485.69
0,222,6,367,1,0,0,0,,,,3470.23
0,476,2,753,1,1,0,0,,,,7113.02
0,800,1,494,1,0,0,0,,,,4926.62
0,330,1,408,1,0,0,0,,,,3679.7
0,507,3,648,1,1,0,0,2015.0,7.0,1.0,7547.45
0,98,7,0,0,0,0,0,2013.0,2.0,6.0,0.0
0,1026,2,1044,1,0,0,0,,,,7568.22
0,990,5,719,1,0,0,0,2013.0,4.0,10.0,6323.27
0,8,6,345,1,0,0,0,2015.0,10.0,1.0,3272.96
0,611,3,566,1,1,0,1,,,,6302.55
0,257,2,777,1,1,0,0,,,,6722.05
0,840,4,1189,1,1,0,0,,,,8402.75
0,848,5,998,1,1,0,1,,,,8080.06
0,124,6,297,1,0,0,0,2014.0,12.0,7.0,2598.35
0,1028,2,438,1,0,0,1,,,,3558.13
0,95,2,1099,1,1,0,0,,,,11348.61
0,208,1,323,1,0,0,0,,,,2051.44
0,249,2,449,1,0,0,0,2014.0,8.0,7.0,4047.18
0,887,3,614,1,1,0,0,,,,7058.9
0,73,1,601,1,1,0,1,,,,6756.08
0,13,4,501,1,1,0,1,2015.0,2.0,4.0,5710.9
0,1049,2,580,1,0,0,1,2013.0,3.0,9.0,3748.37
0,144,4,769,1,1,0,0,2015.0,5.0,2.0,8320.52
0,847,3,1018,1,1,0,1,,,,7505.79
0,796,3,717,1,0,0,0,2013.0,8.0,5.0,6677.51
0,396,4,1139,1,0,0,0,2015.0,11.0,6.0,9700.74
0,1080,7,0,0,0,0,0,,,,0.0
0,675,5,338,1,0,0,0,,,,2801.96
0,1099,1,1236,1,1,0,0,2014.0,1.0,12.0,12410.12
0,791,1,858,1,0,0,0,2015.0,11.0,5.0,7814.75
0,1014,2,1476,1,0,0,0,,,,11641.94
0,487,2,737,1,1,0,0,2014.0,4.0,11.0,8329.75
0,427,3,701,1,0,0,1,,,,5839.55
0,254,5,282,1,1,0,0,,,,3300.3
0,43,5,710,1,0,0,0,,,,6220.27
0,1074,2,421,1,0,0,0,2015.0,9.0,6.0,4537.79
0,549,6,380,1,0,0,0,,,,3560.63
0,1095,2,720,1,1,0,0,2013.0,8.0,1.0,6504.93
0,295,1,612,1,0,0,1,,,,4848.49
0,319,1,863,1,0,0,1,,,,8009.48
0,1002,4,642,1,0,0,0,2014.0,10.0,4.0,5049.07
0,448,6,544,1,0,0,0,2014.0,6.0,12.0,5541.95
0,527,2,1046,1,0,0,1,2013.0,3.0,9.0,9493.46
0,255,5,652,1,1,0,0,2013.0,12.0,4.0,7522.06
0,581,5,651,1,1,0,0,2014.0,4.0,7.0,6255.03
0,185,6,550,1,0,0,0,2013.0,5.0,1.0,5930.77
0,244,6,538,1,0,0,0,,,,4692.99
0,1082,6,877,1,0,0,0,2013.0,5.0,1.0,6698.38
0,216,5,837,1,1,0,0,,,,7706.01
0,350,4,508,1,1,0,0,2015.0,5.0,3.0,6208.03
0,748,1,822,1,1,0,0,,,,9833.98
0,718,1,962,1,0,0,0,2014.0,8.0,12.0,8489.68
0,739,5,789,1,1,0,0,,,,9656.08
0,614,7,0,0,0,0,0,,,,0.0
0,673,2,615,1,1,0,0,,,,7009.83
0,83,1,367,1,0,0,0,2013.0,10.0,6.0,3502.53
0,976,3,598,1,0,0,0,,,,5183.69
0,637,6,518,1,0,0,0,2013.0,6.0,4.0,5673.47
0,122,2,714,1,1,0,0,2014.0,7.0,1.0,7590.99
0,898,1,1013,1,1,0,0,,,,10116.16
0,1080,4,710,1,0,0,0,,,,7267.97
0,291,1,1290,1,1,0,0,,,,11917.11
0,24,4,711,1,0,0,1,2013.0,3.0,1.0,6767.6
0,1096,7,0,0,0,0,0,,,,0.0
0,637,5,860,1,0,0,0,,,,7194.57
0,1002,2,850,1,1,0,0,2015.0,2.0,6.0,8346.5
0,666,1,497,1,0,0,0,2014.0,10.0,3.0,4782.66
0,1089,7,0,0,0,0,0,,,,0.0
0,334,6,515,1,0,0,0,,,,4758.52
0,300,6,951,1,0,0,1,,,,7825.37
0,207,1,1166,1,0,0,0,,,,8754.74
0,683,3,854,1,0,0,0,,,,7945.07
0,1094,2,394,1,1,0,0,,,,5031.72
0,700,4,576,1,0,0,0,2015.0,9.0,7.0,5513.83
0,959,2,744,1,0,0,0,,,,6146.73
0,766,7,0,0,0,0,0,,,,0.0
0,1011,6,977,1,0,0,0,2013.0,8.0,6.0,7800.38
0,570,5,676,1,0,0,0,,,,5351.7
0,685,2,689,1,1,0,0,2013.0,10.0,9.0,7083.87
0,158,3,681,1,1,0,1,,,,7757.87
0,66,5,522,1,0,0,1,,,,5453.76
0,76,2,1080,1,1,0,0,,,,10952.55
0,572,3,458,1,0,0,0,,,,4679.73
0,184,6,510,1,0,0,0,2014.0,11.0,10.0,5369.49
0,1034,5,775,1,1,0,0,2013.0,6.0,12.0,6827.34
0,559,7,0,0,0,0,0,2013.0,11.0,8.0,0.0
0,862,2,1561,1,0,0,1,,,,12207.18
0,171,2,962,1,1,0,0,2014.0,11.0,11.0,9550.66
0,33,7,0,0,0,0,0,2014.0,7.0,12.0,0.0
0,936,4,963,1,1,0,0,,,,8091.79
0,948,2,1682,1,1,0,0,,,,7157.7
0,371,6,551,1,0,0,0,2013.0,4.0,5.0,5742.23
0,242,1,378,1,1,0,0,2014.0,5.0,5.0,4603.26
0,133,5,622,1,0,0,0,,,,6270.04
0,1031,1,681,1,1,0,0,,,,7461.4
0,850,4,710,1,1,0,0,2013.0,7.0,2.0,6932.65
0,860,5,833,1,1,0,0,2015.0,5.0,6.0,8746.1
0,836,6,301,1,0,0,0,2013.0,6.0,7.0,2773.26
0,965,6,908,1,0,0,0,,,,7418.23
0,1096,1,763,1,1,0,0,,,,7778.28
0,504,3,836,1,1,0,1,2014.0,3.0,9.0,7446.19
0,230,1,1327,1,0,0,1,,,,9867.12
0,826,1,1170,1,1,0,0,2013.0,2.0,12.0,11806.59
0,975,2,767,1,1,0,1,,,,8069.94
0,602,2,547,1,0,0,1,,,,5247.87
0,953,5,553,1,1,0,0,,,,5555.38
0,187,6,491,1,0,0,0,2013.0,2.0,11.0,4646.7
0,792,5,599,1,0,0,0,,,,6117.75
0,1035,4,744,1,1,0,0,,,,6742.15
0,523,3,1515,1,1,0,1,,,,12146.14
0,723,4,461,1,0,0,1,2013.0,4.0,4.0,4786.17
0,1025,7,0,0,0,0,0,,,,0.0
0,18,7,0,0,0,0,0,2015.0,4.0,1.0,0.0
0,997,3,378,1,1,0,1,2014.0,3.0,9.0,4660.34
0,400,6,805,1,0,0,0,2013.0,5.0,10.0,6908.45
0,1047,2,491,1,0,0,0,2013.0,9.0,7.0,4311.75
0,819,1,472,1,0,0,0,2013.0,2.0,9.0,4644.82
0,668,1,1562,1,1,0,0,2014.0,2.0,6.0,12789.84
0,585,4,666,1,0,0,0,,,,4442.98
0,99,1,404,1,0,0,0,2014.0,10.0,3.0,3942.88
0,965,6,847,1,0,0,0,,,,7136.74
0,590,4,376,1,1,0,0,,,,4540.75
0,709,2,1682,1,1,0,0,2015.0,2.0,6.0,13589.38
0,58,7,0,0,0,0,0,,,,0.0
0,409,7,0,0,0,0,0,2014.0,9.0,2.0,0.0
0,850,6,826,1,0,0,0,2015.0,4.0,4.0,7747.58
0,1058,3,737,1,1,0,0,2013.0,6.0,3.0,7319.31
0,1067,7,0,0,0,0,0,,,,0.0
0,777,1,0,0,0,2,1,,,,0.0
0,155,3,632,1,1,0,0,,,,6738.92
0,598,1,871,1,1,0,0,,,,7373.71
0,493,2,902,1,1,0,0,2014.0,1.0,7.0,9577.32
0,628,7,0,0,0,0,1,2014.0,3.0,8.0,0.0
0,524,1,1193,1,0,0,1,,,,8746.72
0,966,4,585,1,0,0,1,2013.0,4.0,4.0,4657.99
0,1022,5,791,1,0,0,1,,,,6412.09
0,380,3,1720,1,1,0,0,2014.0,5.0,3.0,18416.19
0,132,3,579,1,1,0,0,,,,6372.71
0,400,5,999,1,0,0,0,,,,7848.62
0,988,4,790,1,1,0,0,,,,6497.98
0,906,2,1476,1,1,0,0,,,,15070.92
0,1028,2,689,1,1,0,0,2013.0,5.0,11.0,6774.12
0,1100,6,484,1,0,0,0,,,,4136.73
0,759,1,607,1,0,0,0,,,,5043.22
0,223,1,716,1,0,0,0,,,,5982.62
0,936,7,0,0,0,0,0,,,,0.0
0,780,6,341,1,0,0,0,2015.0,11.0,7.0,3129.76
0,259,5,2677,1,1,0,0,,,,13011.15
0,131,6,582,1,0,0,0,2013.0,9.0,11.0,5587.33
0,251,3,2241,1,1,0,0,,,,17568.04
0,1079,6,517,1,0,0,0,,,,5861.56
0,1003,3,1029,1,1,0,0,2014.0,5.0,3.0,9131.53
0,980,4,450,1,0,0,0,2013.0,5.0,9.0,4810.62
0,654,2,766,1,1,0,0,,,,7883.44
0,966,4,517,1,0,0,1,,,,3788.82
0,1020,1,929,1,0,0,0,,,,7165.3
0,969,3,610,1,1,0,0,,,,4566.29
0,1038,2,490,1,0,0,1,2015.0,7.0,4.0,4828.63
0,516,3,453,1,0,0,1,2014.0,9.0,7.0,4316.81
0,733,1,3171,1,0,0,0,,,,13962.04
0,595,6,1881,1,0,0,0,,,,15150.45
0,260,3,962,1,1,0,1,,,,7917.18
0,768,6,1251,1,0,0,0,2013.0,2.0,2.0,11140.31
0,940,1,627,1,0,0,0,,,,5489.87
0,364,4,563,1,0,0,0,,,,4545.73
0,506,3,763,1,0,0,1,,,,6070.81
0,671,3,507,1,1,0,1,,,,5261.65
0,300,6,862,1,0,0,0,,,,7009.77
0,84,2,1563,1,1,0,0,,,,13861.83
0,219,4,455,1,1,0,0,2015.0,7.0,5.0,3996.1
0,934,5,764,1,1,0,0,,,,7677.43
0,125,3,1906,1,1,0,1,2015.0,1.0,4.0,15318.47
0,176,3,757,1,1,0,0,2013.0,4.0,12.0,7099.26
0,223,2,675,1,0,0,0,,,,5666.15
0,326,1,429,1,1,0,0,,,,5367.0
0,339,2,745,1,1,0,0,,,,5846.69
0,872,3,659,1,0,0,1,2015.0,8.0,4.0,5708.64
0,579,7,0,0,0,0,0,,,,0.0
0,974,5,1599,1,0,0,0,,,,11244.97
0,979,7,0,0,0,0,0,2015.0,12.0,4.0,0.0
0,880,3,806,1,1,0,0,2014.0,4.0,6.0,7286.5
0,910,7,0,0,0,0,0,,,,0.0
0,1084,6,614,1,0,0,0,2015.0,4.0,7.0,5979.42
0,92,5,453,1,0,0,0,2015.0,12.0,6.0,4540.75
0,14,6,402,1,0,0,0,,,,3567.99
0,587,1,960,1,0,0,1,,,,6802.86
0,230,4,856,1,1,0,0,,,,7307.27
0,689,6,589,1,0,0,0,,,,5705.28
0,599,1,1096,1,1,0,0,,,,11646.32
0,596,7,0,0,0,0,0,,,,0.0
0,576,1,749,1,0,0,0,2013.0,11.0,3.0,5644.62
0,141,4,493,1,0,0,0,,,,4358.95
0,751,1,0,0,0,2,1,,,,0.0
0,877,5,925,1,0,0,0,2013.0,1.0,3.0,7931.22
0,375,2,948,1,1,0,0,,,,9821.43
0,230,1,988,1,0,0,0,2014.0,8.0,12.0,7262.11
0,545,3,1087,1,1,0,0,,,,11851.0
0,1022,1,1093,1,1,0,0,2013.0,4.0,3.0,11643.24
0,597,3,756,1,1,0,1,,,,5360.14
0,559,7,0,0,0,0,0,2014.0,8.0,6.0,0.0
0,1024,6,825,1,0,0,0,,,,6384.26
0,36,2,1205,1,1,0,0,,,,11285.9
0,702,2,351,1,1,0,1,,,,4365.44
0,623,7,0,0,0,0,0,2013.0,10.0,2.0,0.0
0,105,4,483,1,0,0,0,,,,4319.39
0,902,2,648,1,1,0,0,,,,5983.7
0,11,6,786,1,0,0,0,2015.0,11.0,4.0,7222.15
0,1039,5,629,1,0,0,0,,,,5782.31
0,102,1,1174,1,1,0,0,,,,12474.54
0,543,5,175,1,0,0,1,,,,1725.14
0,827,4,1910,1,0,0,1,2014.0,2.0,1.0,14022.58
0,110,3,647,1,1,0,0,2014.0,8.0,10.0,6180.88
0,945,1,698,1,1,0,1,2015.0,5.0,1.0,7398.51
0,582,3,749,1,0,0,0,2014.0,12.0,3.0,6267.86
0,554,4,428,1,0,0,0,,,,3974.74
0,486,2,384,1,0,0,1,2014.0,8.0,7.0,3548.29
0,637,6,520,1,0,0,0,,,,5628.09
0,806,5,578,1,0,0,0,,,,6086.34
0,887,6,462,1,0,0,0,,,,4664.71
0,374,6,668,1,0,0,0,2015.0,4.0,4.0,7100.99
0,1025,5,804,1,0,0,1,2013.0,4.0,1.0,6553.68
0,638,2,431,1,0,0,1,2013.0,6.0,8.0,4692.32
0,123,6,490,1,0,0,0,2015.0,9.0,5.0,4825.15
0,905,4,1108,1,1,0,0,,,,10049.01
0,536,5,989,1,0,0,1,2013.0,5.0,4.0,8643.97
0,763,7,0,0,0,0,0,2015.0,1.0,2.0,0.0
0,191,6,694,1,0,0,0,2013.0,10.0,8.0,6274.88
0,957,4,948,1,1,0,0,,,,8825.43
0,268,4,618,1,1,0,0,2015.0,4.0,6.0,6118.04
0,654,6,266,1,0,0,0,2013.0,7.0,9.0,2607.49
0,612,6,388,1,0,0,0,2013.0,7.0,9.0,3927.41
0,747,3,567,1,0,0,1,,,,5667.21
0,656,6,380,1,0,0,0,,,,3455.79
0,368,5,592,1,0,0,1,2013.0,5.0,4.0,6697.25
0,959,3,552,1,0,0,0,,,,4374.08
0,329,2,708,1,1,0,0,2015.0,3.0,2.0,8086.83
0,97,3,535,1,0,0,1,,,,4767.96
0,314,2,661,1,1,0,1,,,,6844.56
0,463,7,0,0,0,0,0,2015.0,11.0,1.0,0.0
0,258,1,0,0,0,1,0,,,,0.0
0,283,3,621,1,0,0,0,,,,5694.36
0,556,1,754,1,0,0,0,,,,5719.29
0,388,5,1211,1,1,0,0,,,,10817.46
0,67,3,837,1,1,0,1,2014.0,3.0,9.0,7238.08
0,725,5,677,1,1,0,0,,,,6977.14
0,219,4,416,1,1,0,0,2013.0,6.0,6.0,3324.12
0,1077,2,479,1,0,0,0,2015.0,10.0,2.0,4260.59
0,322,4,589,1,0,0,0,,,,5349.47
0,814,3,581,1,1,0,1,,,,6107.63
0,134,7,0,0,0,0,0,,,,0.0
0,54,4,657,1,0,0,0,2013.0,11.0,7.0,6079.69
0,662,5,854,1,1,0,0,,,,8649.54
0,126,7,0,0,0,0,0,,,,0.0
0,1001,6,471,1,0,0,0,,,,4616.12
0,657,4,598,1,0,0,0,,,,4363.62
0,590,4,319,1,0,0,0,,,,3536.59
0,193,3,0,0,0,3,1,,,,0.0
0,168,6,465,1,0,0,0,,,,4461.83
0,16,1,839,1,0,0,0,,,,8251.81
0,244,1,738,1,1,0,0,2013.0,4.0,2.0,7533.74
0,545,7,0,0,0,0,0,2015.0,8.0,2.0,0.0
0,1032,6,492,1,0,0,0,,,,4589.75
0,290,5,987,1,1,0,0,,,,9645.1
0,548,4,335,1,1,0,0,,,,4067.23
0,733,1,3508,1,1,0,1,2014.0,4.0,8.0,16348.0
0,654,4,716,1,1,0,0,2013.0,6.0,6.0,6826.53
0,272,6,377,1,0,0,0,2013.0,4.0,5.0,3617.37
0,1017,3,1176,1,1,0,0,,,,9886.91
0,708,2,462,1,1,0,0,,,,4881.39
0,819,4,454,1,1,0,0,2015.0,8.0,1.0,5535.29
0,99,3,372,1,0,0,0,,,,3761.85
0,982,2,710,1,0,0,0,2013.0,10.0,12.0,6425.53
0,683,5,0,0,1,2,1,2015.0,3.0,4.0,0.0
0,194,3,373,1,0,0,0,,,,4009.7
0,853,2,1201,1,1,0,0,,,,10778.85
0,53,1,650,1,1,0,1,,,,9115.75
0,281,4,508,1,1,0,0,2013.0,7.0,2.0,5625.95
0,101,2,879,1,1,0,0,2014.0,2.0,9.0,9329.91
0,440,5,769,1,1,0,1,2015.0,5.0,6.0,7778.21
0,994,2,435,1,1,0,0,,,,5002.2
0,168,2,930,1,1,0,1,,,,9786.81
0,48,7,0,0,0,0,0,,,,0.0
0,652,6,501,1,0,0,0,,,,4405.24
0,934,6,474,1,0,0,0,2014.0,11.0,1.0,4515.82
0,223,6,589,1,0,0,0,,,,5519.02
0,378,5,0,0,0,3,1,,,,0.0
0,865,3,624,1,1,0,0,,,,7715.03
0,466,5,861,1,0,0,0,,,,6588.79
0,789,5,546,1,0,0,0,,,,4447.52
0,61,7,0,0,0,0,0,2015.0,7.0,6.0,0.0
0,765,4,1068,1,1,0,0,,,,9275.42
0,673,1,500,1,0,0,0,,,,5029.72
0,258,3,444,1,0,0,0,,,,4432.75
0,740,3,499,1,1,0,0,2014.0,8.0,10.0,5955.95
0,1080,1,764,1,0,0,0,,,,8163.87
0,918,5,661,1,1,0,0,,,,6116.97
0,857,6,1004,1,0,0,0,,,,7951.23
0,837,1,482,1,1,0,0,2013.0,1.0,7.0,4128.55
0,516,7,0,0,0,0,0,2015.0,1.0,3.0,0.0
0,446,2,505,1,0,0,0,,,,4518.51
0,835,4,0,0,1,1,0,,,,0.0
0,140,7,0,0,0,0,0,2013.0,3.0,2.0,0.0
0,207,3,1584,1,1,0,0,,,,14096.07
0,961,4,668,1,1,0,0,,,,6373.85
0,772,2,507,1,1,0,0,,,,4298.67
0,1089,2,1050,1,1,0,0,2014.0,2.0,9.0,10388.5
0,521,3,421,1,1,0,0,2014.0,5.0,3.0,5198.71
0,823,5,600,1,0,0,0,,,,5686.69
0,436,6,426,1,0,0,0,,,,3720.65
0,483,7,0,0,0,0,0,2014.0,9.0,3.0,0.0
0,215,2,333,1,0,0,0,,,,3745.35
0,109,5,802,1,0,0,0,,,,7513.22
0,858,1,590,1,1,0,0,,,,6249.89
0,425,4,501,1,1,0,0,2015.0,5.0,3.0,5400.88
0,357,5,905,1,0,0,1,,,,6918.34
0,255,1,575,1,1,0,0,2015.0,2.0,2.0,6067.43
0,798,6,343,1,0,0,0,2015.0,7.0,2.0,3529.36
0,366,6,304,1,0,0,0,,,,2968.16
0,534,2,510,1,0,0,1,2015.0,7.0,4.0,4996.81
0,179,5,1176,1,1,0,0,,,,10321.11
0,258,2,464,1,0,0,1,2013.0,3.0,9.0,4460.83
0,693,5,384,1,0,0,1,,,,4160.86
0,999,4,685,1,1,0,1,,,,8868.31
0,834,6,492,1,0,0,0,,,,4825.8
0,512,4,1410,1,0,0,1,,,,6198.98
0,818,2,662,1,1,0,0,,,,7243.43
0,534,6,606,1,0,0,0,2013.0,12.0,10.0,6113.12
0,1084,2,1099,1,1,0,0,,,,9188.41
0,34,2,861,1,0,0,0,2015.0,10.0,3.0,7808.68
0,101,4,686,1,0,0,0,,,,5803.22
0,187,1,885,1,1,0,0,2015.0,2.0,3.0,8827.7
0,20,1,1041,1,1,0,0,,,,10161.53
0,828,7,0,0,0,0,0,,,,0.0
0,434,1,823,1,1,0,1,2013.0,12.0,8.0,10100.58
0,738,1,864,1,1,0,0,2015.0,4.0,5.0,11113.04
0,351,5,569,1,1,0,0,2014.0,7.0,3.0,6640.82
0,1020,4,905,1,0,0,0,,,,6967.53
0,86,7,0,0,0,0,0,2013.0,11.0,8.0,0.0
0,266,3,573,1,1,0,0,,,,5855.38
0,608,5,1024,1,1,0,0,,,,9975.96
0,708,5,493,1,1,0,1,,,,5491.8
0,734,3,605,1,1,0,0,2014.0,5.0,2.0,6446.49
0,776,7,0,0,0,0,0,2015.0,7.0,6.0,0.0
0,1060,2,853,1,1,0,0,2013.0,9.0,4.0,8526.56
0,182,2,507,1,1,0,0,,,,6635.89
0,542,3,431,1,0,0,0,,,,4607.18
0,602,1,610,1,0,0,0,2013.0,6.0,5.0,5471.84
0,101,4,777,1,1,0,0,2013.0,7.0,11.0,7835.57
0,784,7,0,0,0,0,0,,,,0.0
0,679,7,0,0,0,0,0,,,,0.0
0,535,4,793,1,0,0,1,,,,6494.15
0,844,4,516,1,1,0,0,2014.0,6.0,2.0,5133.23
0,595,7,0,0,0,0,0,,,,0.0
0,25,6,1831,1,0,0,0,,,,12917.0
0,416,3,1819,1,1,0,0,2014.0,3.0,12.0,15624.98
0,539,4,966,1,0,0,0,,,,8618.43
0,77,3,642,1,1,0,0,,,,6889.29
0,641,2,493,1,0,0,0,2013.0,9.0,7.0,4759.08
0,445,6,1201,1,0,0,0,2015.0,10.0,1.0,9674.77
0,318,5,822,1,1,0,0,2013.0,3.0,5.0,8460.23
0,394,3,539,1,0,0,0,,,,5909.77
0,761,5,1014,1,1,0,1,2014.0,7.0,2.0,9507.14
0,706,2,578,1,1,0,0,,,,6576.76
0,41,5,433,1,0,0,0,,,,5396.48
0,894,1,958,1,0,0,1,2014.0,7.0,7.0,7088.89
0,169,6,801,1,0,0,0,2014.0,3.0,5.0,7407.48
0,1012,1,0,0,0,1,0,2014.0,9.0,6.0,0.0
0,310,4,868,1,1,0,0,,,,8778.97
0,1003,3,847,1,1,0,0,,,,8149.1
0,970,3,429,1,1,0,0,,,,3919.13
0,239,5,627,1,1,0,0,,,,6645.62
0,998,1,647,1,1,0,0,,,,6488.96
0,278,5,692,1,0,0,0,,,,6254.29
0,49,2,539,1,0,0,1,,,,5394.51
0,603,3,0,0,1,0,1,,,,0.0
0,658,2,824,1,1,0,0,,,,8462.72
0,1072,3,786,1,1,0,0,2013.0,6.0,2.0,8122.08
0,1028,2,587,1,1,0,1,,,,6314.92
0,288,4,489,1,1,0,0,,,,5792.29
0,111,1,838,1,1,0,1,,,,9384.71
0,581,2,703,1,1,0,0,,,,7384.8
0,979,7,0,0,0,0,0,2013.0,12.0,5.0,0.0
0,644,7,0,0,0,0,0,,,,0.0
0,589,1,577,1,1,0,0,2013.0,3.0,6.0,6262.73
0,295,2,619,1,0,0,0,,,,4534.01
0,388,1,1586,1,1,0,0,,,,15413.97
0,9,6,621,1,0,0,0,2014.0,4.0,10.0,6660.51
0,445,4,1381,1,1,0,1,,,,10241.86
0,204,4,445,1,0,0,1,2013.0,5.0,9.0,4551.87
0,296,1,1011,1,1,0,0,2014.0,6.0,10.0,10045.62
0,497,7,0,0,0,0,0,,,,0.0
0,481,1,523,1,1,0,0,,,,6132.29
0,1100,6,569,1,0,0,0,2014.0,6.0,12.0,5273.67
0,588,6,614,1,0,0,0,,,,6252.79
0,290,2,918,1,1,0,1,2014.0,7.0,1.0,9094.58
0,1107,4,635,1,0,0,1,,,,5549.53
0,1019,6,820,1,0,0,0,,,,7218.49
0,945,5,545,1,0,0,0,,,,4510.29
0,770,7,0,0,0,0,0,,,,0.0
0,1041,4,0,0,1,1,1,,,,0.0
0,433,3,898,1,1,0,1,,,,10416.62
0,190,2,738,1,1,0,0,,,,8079.7
0,843,3,962,1,1,0,1,,,,8828.98
0,937,3,689,1,1,0,1,,,,7808.9
0,333,7,0,0,0,0,0,2013.0,9.0,6.0,0.0
0,302,3,337,1,1,0,0,2014.0,1.0,10.0,4044.3
0,329,7,0,0,0,0,0,,,,0.0
0,1034,6,290,1,0,0,0,2014.0,8.0,11.0,2661.62
0,734,6,289,1,0,0,0,2015.0,10.0,1.0,3057.65
0,892,4,861,1,1,0,0,2013.0,10.0,10.0,8205.91
0,96,4,532,1,0,0,1,2013.0,4.0,4.0,4657.11
0,578,2,762,1,0,0,0,,,,6786.43
0,593,3,1035,1,0,0,0,2014.0,9.0,4.0,8094.19
0,958,2,595,1,1,0,0,2014.0,6.0,5.0,6186.59
0,944,5,1135,1,1,0,1,2014.0,5.0,9.0,8093.65
0,524,5,913,1,0,0,0,,,,9730.76
0,311,1,1049,1,0,0,1,,,,8326.37
0,501,3,615,1,1,0,1,,,,6501.8
0,1039,3,1233,1,1,0,1,,,,10641.0
